title, director, year
One Crazy Summer, Savage Steve Holland, 1986
The Princess Bride, Rob Reiner, 1987
The Goonies, Richard Donner, 1985
The Breakfast Club, John Hughes, 1985
Monty Python and the Holy Grail, Terry Gilliam, 197kazuyatanaka@kazyu:/mnt/c/Users/kazuy/projects/webflyx$ git pull origin main
From https://github.com/Kazuya0502-hub/webflyx
 * branch            main       -> FETCH_HEAD
error: Your local changes to the following files would be overwritten by merge:
  classics.csv
Merge with strategy ort failed.5
Willow, Ron Howard, 1988
Psycho, Alfred Hitchcock, 1960
